Table Tennis - Singles Men,China,China,Germany,Chinese Taipei,Egypt,Brazil,South Korea,Slovenia
Table Tennis - Team Men,China,Germany,Japan,South Korea,Brazil,France,Sweden,Chinese Taipei
Table Tennis - Singles Women,China,China,Japan,Singapore,Hong Kong,Germany,Japan,South Korea
Table Tennis - Team Women,China,Japan,Hong Kong,Germany,South Korea,Romania,Singapore,Chinese Taipei
Table Tennis - Doubles Mixed,Japan,China,Chinese Taipei,France,Germany,Hong Kong,South Korea,Romania
Taekwondo - Flyweight Men,Italy,Tunisia,South Korea,Russia,Argentina,Hungary,Ethiopia,Thailand
Taekwondo - Featherweight Men,Uzbekistan,Great Britain,China,Turkey,Bosnia and Herzegovina,South Korea,Iran,New Zealand
Taekwondo - Welterweight Men,Russia,Jordan,Croatia,Egypt,Norway,Uzbekistan,Burkina Faso,Morocco
Taekwondo - Heavyweight Men,Russia,North Macedonia,Cuba,South Korea,China,Slovenia,Cote d'Ivoire,Tonga
Taekwondo - Flyweight Women,Thailand,Spain,Israel,Serbia,Japan,Turkey,China,Vietnam
Taekwondo - Featherweight Women,United States,Russia,Chinese Taipei,Turkey,Olympic Refugee Team,Niger,Greece,Morocco
Taekwondo - Welterweight Women,Croatia,Great Britain,Cote d'Ivoire,Egypt,Brazil,United States,Haiti,Tonga
Taekwondo - Heavyweight Women,Serbia,South Korea,France,Great Britain,Cote d'Ivoire,Poland,Dominican Republic,Kenya
Tennis - Singles Men,Germany,Russia,Spain,Serbia,France,France,Russia,Japan
Tennis - Doubles Men,Croatia,Croatia,New Zealand,United States,Colombia,Great Britain,Japan,Germany
Tennis - Singles Women,Switzerland,Czech Republic,Ukraine,Kazakhstan,Spain,Italy,Spain,Russia
Tennis - Doubles Women,Czech Republic,Switzerland,Brazil,Russia,Australia,Ukraine,United States,Australia
Tennis - Doubles Mixed,Russia,Russia,Australia,Serbia,Greece,Japan,Germany,Poland
Triathlon - Men,Norway,Great Britain,New Zealand,Belgium,Great Britain,United States,Hungary,Norway
Triathlon - Women,Bermuda,Great Britain,United States,Netherlands,France,Switzerland,Italy,Germany
Triathlon - Relay Mixed,Great Britain,United States,France,Netherlands,Belgium,Germany,Switzerland,Italy
Volleyball - Men's Indoor,France,Russia,Argentina,Brazil,Poland,Italy,Japan,Canada
Volleyball - Women's Indoor,United States,Brazil,Serbia,South Korea,Turkey,Italy,Russia,Dominican Republic
Volleyball - Men's Beach,Norway,Russia,Qatar,Latvia,Brazil,Germany,Italy,Russia
Volleyball - Women's Beach,United States,Australia,Switzerland,Latvia,Brazil,Canada,Canada,Germany
Water Polo - Men,Serbia,Greece,Hungary,Spain,Croatia,United States,Italy,Montenegro
Water Polo - Women,United States,Spain,Hungary,Russia,Australia,Netherlands,Canada,China
Weightlifting - Bantamweight Men,China,Indonesia,Kazakhstan,Japan,Saudi Arabia,Italy,Georgia,Dominican Republic
Weightlifting - Featherweight Men,China,Colombia,Italy,South Korea,Pakistan,Uzbekistan,Japan,Georgia
Weightlifting - Lightweight Men,China,Venezuela,Indonesia,Albania,Bulgaria,Tunisia,Japan,Moldova
Weightlifting - Middleweight Men,China,Dominican Republic,Italy,United States,Colombia,Latvia,Germany,Spain
Weightlifting - Middle Heavyweight Men,Qatar,Venezuela,Georgia,Canada,Chinese Taipei,Kyrgyzstan,Poland,South Korea
Weightlifting - Heavyweight Men,Uzbekistan,Armenia,Latvia,Russia,Bulgaria,South Korea,Poland,United States
Weightlifting - Super Heavyweight Men,Georgia,Iran,Syria,Turkmenistan,New Zealand,Netherlands,Hungary,Spain
Weightlifting - Flyweight Women,China,India,Indonesia,Chinese Taipei,Belgium,Cuba,France,Dominican Republic
Weightlifting - Featherweight Women,Philippines,China,Kazakhstan,Uzbekistan,Ukraine,Turkmenistan,South Korea,Tunisia
Weightlifting - Lightweight Women,Chinese Taipei,Turkmenistan,Japan,France,Vietnam,Venezuela,Armenia,Great Britain
Weightlifting - Middleweight Women,Canada,Italy,Chinese Taipei,Colombia,Great Britain,Ecuador,Philippines,Cuba
Weightlifting - Light Heavyweight Women,Ecuador,United States,Mexico,Sweden,Belarus,Uzbekistan,Great Britain,Canada
Weightlifting - Heavyweight Women,China,Ecuador,Dominican Republic,Mongolia,France,United States,Venezuela,Moldova
Weightlifting - Super Heavyweight Women,China,Great Britain,United States,South Korea,Indonesia,Australia,Dominican Republic,Tonga
Wrestling - Freestyle Bantamweight Men,Russia,India,Kazakhstan,United States,Bulgaria,Iran,Uzbekistan,Japan
Wrestling - Freestyle Lightweight Men,Japan,Azerbaijan,Russia,India,Hungary,Kazakhstan,Poland,Iran
Wrestling - Freestyle Welterweight Men,Russia,Belarus,United States,Uzbekistan,Italy,Kazakhstan,Egypt,Azerbaijan
Wrestling - Freestyle Middleweight Men,United States,Iran,Russia,San Marino,Uzbekistan,India,China,Switzerland
Wrestling - Freestyle Heavyweight Men,Russia,United States,Cuba,Italy,Azerbaijan,Turkey,Kazakhstan,Georgia
Wrestling - Freestyle Super Heavyweight Men,United States,Georgia,Iran,Turkey,China,Mongolia,Kosovo,Germany
Wrestling - Greco-Roman Bantamweight Men,Cuba,Japan,China,Russia,Ukraine,Moldova,Kyrgyzstan,Armenia
Wrestling - Greco-Roman Lightweight Men,Iran,Ukraine,Germany,Egypt,Georgia,Russia,South Korea,Olympic Refugee Team
Wrestling - Greco-Roman Welterweight Men,Hungary,Kyrgyzstan,Japan,Azerbaijan,Iran,Armenia,Russia,Russia
Wrestling - Greco-Roman Middleweight Men,Ukraine,Hungary,Germany,Serbia,Egypt,Croatia,Algeria,Uzbekistan
Wrestling - Greco-Roman Heavyweight Men,Russia,Armenia,Poland,Iran,Hungary,Finland,United States,Bulgaria
Wrestling - Greco-Roman Super Heavyweight Men,Cuba,Georgia,Turkey,Russia,Iran,Chile,Uzbekistan,Germany
Wrestling - Freestyle Flyweight Women,Japan,China,Azerbaijan,United States,Mongolia,Ukraine,Bulgaria,Ecuador
Wrestling - Freestyle Bantamweight Women,Japan,China,Belarus,Mongolia,United States,Cameroon,Poland,Ecuador
Wrestling - Freestyle Lightweight Women,Japan,Belarus,United States,Bulgaria,Mongolia,Russia,Moldova,Ukraine
Wrestling - Freestyle Middleweight Women,Japan,Kyrgyzstan,Ukraine,Bulgaria,Latvia,Russia,Sweden,Romania
Wrestling - Freestyle Light Heavyweight Women,United States,Nigeria,Ukraine,Kyrgyzstan,Japan,Mongolia,China,Russia
Wrestling - Freestyle Heavyweight Women,Germany,United States,Turkey,China,Kyrgyzstan,Japan,Russia,Estonia
